name,description
TechSoup,"Power up your social impact. Tech products, resources, & tips | #TechedUp #NPtechChat #DonateYrBrain | 375+ products. http://t.co/p6hSWecEEp"
Caravan Studios,"We build apps to help solve the real-world problems of nonprofits & social benefit orgs, using a community-centered design process.  A division of    @TechSoup"
Harlan Weber,Designer. Researcher. Displaced New Yorker. Founder and Brigade Captain at @CodeForBoston. GovNext lead at Commonwealth of MA. Opinions are my own.
Marnie Webb,"parent, nptechie, former CEO of @TechSoup, current CEO of @CaravanStudios, tinkerer, runner, reader, angler, and homeholder with @ericalorraine"
League of Women Voters of San Francisco,The League of Women Voters of San Francisco is a nonpartisan organization that encourages the informed and active participation of citizens in government.
League of Women Voters of California,The League of Women Voters of California is a nonpartisan political org which encourages informed & active participation in govt & influences public policy.
League of Women Voters,The League of Women Voters seeks to improve government & impact public policies thru citizen education & advocacy. Also at @VOTE411.org for elections info!
Code for Kansas City,The Code for America Kansas City Brigade. Join our weekly meetup: http://t.co/hYGtRblIz2
"City of Kansas City, Mo.","The official Twitter account for the City of Kansas City, Missouri. Follows and RTs aren't endorsements."
KC Digital Drive,"Making Kansas City a digital leader by closing the digital divide, fostering gigabit innovation and building smart city reputation."
Isaac Chansky,"I make things, often with code."
Lehman College/City University of New York,NULL
Azavea,Beyond dots on a map. Geospatial technology for civic and social impact. Proud Certified @BCorporation
Becky Donner,NULL
DataLook,WE show you reusable projects: #data4good | #civichacking | #civictech | #tech4good | #opendata. YOU replicate!
National Neighborhood Indicators Alliance,The National Neighborhood Indicators Partnership is a collaboration of @UrbanInstitute and partners in 30+ cities who use local data to help communities. #NNIP
City of Long Beach Innovation Team,Committed to finding sustainble solutions for the City of #LongBeach. #iteams #innovation @longbeachcity #MayorRobertGarcia Email us at i-team@longbeach.gov
Buildingeye Inc,Visualizing building and planning data from different cities and making it easy for users to see what development is being planned in their neighborhood.
MaptimeLA,bringing Maptime to LA. Maptime is Open to All. Every other Thursdays.  est. Sep. 2015  RSVP: http://t.co/Etag65Iexb
Goldhirsh Foundation,"Existing for social innovators, run by social innovators. Envisioning the future @LA2050."
Compiler LLC,A civic-minded organization using tech and data to build the Los Angeles of tomorrow
Ad Hoc LLC,"We're the team that fixed http://t.co/NrvqZwAdV8.  We help governments navigate complex technology projects, and we need your help."
Greg Gershman,"Co-founder @adhocteam, building awesome stuff for USA. Also saved http://t.co/6otmKd2BoP, PIF. Fluent in over 6 million forms of communication."
Romulus,We've moved to @romuluscrm!
Austin Prep Access Project,"Austin PrEP Access Project's mission is to increase awareness, access, and adherence to HIV prevention strategies."
Massachusetts Association of Crime Analysts,Massachusetts Association of Crime Analysts
Open Source Policing,"Better policing through collaboration.  Free training, software, knowledge, social media and other tools to improve policing and police-community relationships."
Police Innovation Conference,"Police Innovation Conference 2015.Innovation,Tech, and The Future of Policing! Oct 5th & 6th 2015 at Microsoft. Presented by @Wired_Blue & @CambridgePolice"
New York State Senate,News from the New York Senate.
Mike Klein,NULL
E-Democracy.org,Online engagement leader since 1994 - Highlights from E-Democracy's @incensenhoney @Democracy @MrTimTweets as well as blog posts and info on BeNeighbors.org
Steven Clift,"New w/ @KnowledgeHub, @edemo founder w/ world's 1st election web in 94, intl speaker, Ashoka Fellow, WH Champion of Change, my start-up http://t.co/Iour2F9uA2"
Reboot,Reboot is a social impact firm dedicated to inclusive development and accountable governance.
Civic Tech Toronto,NULL
Leeds Data Mill,"We are the Open Data platform for Leeds. Follow us for updates on events, research and stories about the city."
Casa de la Ciudad,La Casa de la Ciudad  es un espacio abierto donde analizamos y difundimos temas relacionados a la vida urbana de la ciudad de Oaxaca.
Isla Urbana,"Isla Urbana somos un grupo de jÃ_venes dedicados a captar la lluvia en MÃ©xico.   Join the rainwater harvesting revolution, follow Isla Urbana!"
Laboratoria Mexico,"Laboratoria MÃ©xico apuesta por el talento de mujeres de zonas urbano marginales, transformando su futuro a travÃ©s de la programaciÃ_n Web."
Yaxi,Tu conductor de confianza.
Lisa Katayama,"Editorial/strategy at SYP. Founded @theofuproject and @medialab Director's Fellows. TokyoMango, Boing Boing, Wired. Working w/ @XQAmerica to #rethinkhighschool"
Luis Daniel,NULL
Jake Porway,Believer in tech+data for beautiful purposes || Director @DataKind || TV nerd @NatGeoChannel || Fiercely optimistic
David Gilford,VP @NYCEDC. Support innovation to make NYC's economy strong & sustainable. Tweeting #urbantech #energy #resiliency #smartcities & #cleanweb. Views mine.
Lawrence Grodeska,"to gather, celebrate & create on spaceship earth / founder @civicmakers / music @therealnumbers / past @accelasoftware @change @sfgov @stopwasteorg #civictech"
CivicMakers,"CivicMakers envisions a world with more people making better decisions together, in our communities, workplaces and institutions. #civictech #opengov"
Steve Pepple,NULL
Code for San Francisco,NULL
VINNOVA,"Vinnova is Swedenâ€™s innovation agency. We strengthen Swedenâ€™s innovativeness, aiding sustainable growth and benefitting society. Follow @vinnovase for Swedishâ€_"
Jennifer Childs,"Senior Manager, Corporate Partnerships @codeforamerica"
URENIO Research,NULL
Deji,Problem solver
Democracy Fund,"The Democracy Fund aspires to the highest ideals of the American republic â€” government of, by, and for the people."
Mitchell Weiss,Senior Lecturer @HarvardHBS. Public Entrepreneurship. Former Chief of Staff @mayortommenino. Co-founder @newurbanmechs.
John Krauss,NULL
Participatory Politics Foundation,"New: @Councilmatic and @NYCCouncilmatic, open data for city governments. Also @AskThemPPF. Previously we did @OpenCongress, non-profit for civic engagement."
Councilmatic,"Your local city council, demystified. Open data & open-source, for civic engagement. By @ppolitics & @DataMadeCo"
WinWin,NULL
Kuan Butts,"2016 @CodeForAmerica Fellow. Previously @MicrosoftNY, @MIT, + @medialab.  Probably listening to Dawes right now."
BenefitKitchen,NULL
Jennifer Shaw,"Proud MC1R Rock Star & equal opportunity geek: As long as it does what I want it to, when I want it to, I'm a fan.  Founder @BellaMinds (Frmly @NYTechWomen)"
Dan O'Neil,Executive Director of Smart Chicago Collaborative. Conceptual artist. Ethics: http://t.co/q16BIKs11T
Jennifer Thibault,"Designing for The People, with @18F Better 'grammer than twitterer: http://t.co/DNCuubIfk1"
Ellen Mendlow,"Cross-pollinator, renaissance thinker, infinitely curious..."
Cynthia Nicklin,Digital librarian. MLS. Gamer. New Yorker. Connecting citizens with city data @vizalytics.
Idealist.org,Come and help us change the world. Instagram: @idealistdotorg
Tumml,The Startup Hub for Urban Tech
Simpolfy,Make your voice heard with as little time as possible by leveraging the knowledge and insights of the organizations with whom you share political views.
Sara-Jayne Terp,"Data scientist, improving development data access. Crisismapper with @openCrisis. Geek. Cyclist. Human."
Slow Food NYC,"NYC chapter @SlowFoodUSA, dedicated to good, clean & fair food for all New Yorkers. #Snailblazer Award #SchoolGardens #SnailofApproval, volunteer, great events!"
Jonny Goldstein,"listener, visualizer, storyteller"
Public Policy Lab,We help Americans build better lives by improving the design and delivery of public services.
Aidan Feldman,"bureaucrat @18F, instructor @nyuniversity, dancer Artichoke Dance, danceTactics & @BSPdancearts, organizer @hackerhours, open-sorcerer http://t.co/MryMy6Um7i"
Brooklyn Law Incubator & Policy Clinic,Brooklyn Law Incubator & Policy Clinic. We offer pro bono legal services to unfunded startups.
Jonathan Askin,tech law professor
Terence John Cortez,Let me tell you a story.
Accenture,NULL
City Digital,City Digital is the global hub for urban infrastructure #innovation. A @UILABS_ Collaboration.
Siemens,NULL
Jens Molbak,NULL
Massachusetts Office of Information Technology,"MassIT is the Commonwealthâ€™s lead agency for technology & innovation. Also follow @MassITMunicipal, @MassData, @MassGIS, @MassITJobs, @MassCyberAlerts, @MassGov"
Nihal Mirpuri,NULL
Massachusetts Office of Information Technology,"MassIT is the Commonwealthâ€™s lead agency for technology & innovation. Also follow @MassITMunicipal, @MassData, @MassGIS, @MassITJobs, @MassCyberAlerts, @MassGov"
ZoningHub,NULL
Kit Lykketoft,Deputy at MindLab. Passionate about real change in policymaking through citizen involvement and design. Lab-maker. Tweets are my own
MINDLab,A Danish cross-governmental innovation unit. We involve citizens and businesses in developing new solutions for the public sector. Tweets on #mindlabdk
Daniel Schultz,NULL
The Internet Archive,NULL
Open Tech Strategies,NULL
Abhi Nemani,NULL
